query,clicks,impressions,ctr,position
20 mins in decimal,0,1,0,57
payroll decimal,0,1,0,52
punch in and out calculator,0,1,0,73
punch in punch out calculator,0,1,0,65
time card calculator with breaks,0,1,0,89
time card calculator with multiple in and out,0,3,0,58.7
time card calculator with multiple punches,0,1,0,61
time card conversion to decimal,0,1,0,62
time clock out,0,2,0,76
time converter to decimals,0,1,0,58
time decimal conversion,0,1,0,73
time punch calculator,0,2,0,74
time punches,0,3,0,74.3
time to decimals,0,1,0,65
